post_id,parent_id,comment_id,text,category,clean_tokens
109,null,null,Power of Holm's multiple comparison testing compared to others,title,"[""power"",""holm"",""'s"",""multiple"",""comparison"",""testing"",""compared"",""others""]"
113,null,null,What are some good frameworks for method selection?,title,"[""good"",""frameworks"",""method"",""selection"",""?""]"
114,null,null,What statistical blogs would you recommend?,title,"[""statistical"",""blogs"",""would"",""recommend"",""?""]"
118,null,null,Why square the difference instead of taking the absolute value in standard deviation?,title,"[""square"",""difference"",""instead"",""taking"",""absolute"",""value"",""standard"",""deviation"",""?""]"
125,null,null,What is the best introductory Bayesian statistics textbook?,title,"[""best"",""introductory"",""bayesian"",""statistics"",""textbook"",""?""]"
130,null,null,Clojure versus R: advantages and disadvantages for data analysis,title,"[""clojure"",""versus"",""r"","":"",""advantages"",""disadvantages"",""data"",""analysis""]"
134,null,null,Algorithms to compute the running median?,title,"[""algorithms"",""compute"",""running"",""median"",""?""]"
138,null,null,Free resources for learning R,title,"[""free"",""resources"",""learning"",""r""]"
145,null,null,Free Dataset Resources?,title,"[""free"",""dataset"",""resources"",""?""]"
146,null,null,Can one use multiple regression to predict one principal component (PC) from several other PCs?,title,"[""one"",""use"",""multiple"",""regression"",""predict"",""one"",""principal"",""component"",""("",""pc"","")"",""several"",""pcs"",""?""]"
152,null,null,Is there a standard method to deal with label switching problem in MCMC estimation of mixture models?,title,"[""standard"",""method"",""deal"",""label"",""switching"",""problem"",""mcmc"",""estimation"",""mixture"",""models"",""?""]"
165,null,null,How would you explain Markov Chain Monte Carlo (MCMC) to a layperson?,title,"[""would"",""explain"",""markov"",""chain"",""monte"",""carlo"",""("",""mcmc"","")"",""layperson"",""?""]"
170,null,null,Free statistical textbooks,title,"[""free"",""statistical"",""textbooks""]"
173,null,null,"Time series for count data, with counts < 20",title,"[""time"",""series"",""count"",""data"","","",""counts"",""<"",""20""]"
175,null,null,How should outliers be dealt with in linear regression analysis?,title,"[""outliers"",""dealt"",""linear"",""regression"",""analysis"",""?""]"
181,null,null,How to choose the number of hidden layers and nodes in a feedforward neural network?,title,"[""choose"",""number"",""hidden"",""layers"",""nodes"",""feedforward"",""neural"",""network"",""?""]"
183,null,null,What tools could be used for applying clustering algorithms on MovieLens?,title,"[""tools"",""could"",""used"",""applying"",""clustering"",""algorithms"",""movielens"",""?""]"
192,null,null,Cross tabulation of two categorical variables: recommended techniques,title,"[""cross"",""tabulation"",""two"",""categorical"",""variables"","":"",""recommended"",""techniques""]"
194,null,null,Data Mining-- How to Tell Whether the Pattern Extracted is Meaningful?,title,"[""data"",""mining"",""--"",""tell"",""whether"",""pattern"",""extracted"",""meaningful"",""?""]"
196,null,null,Open source tools for visualizing multi-dimensional data?,title,"[""open"",""source"",""tools"",""visualizing"",""multi-dimensional"",""data"",""?""]"
203,null,null,Group differences on a five point Likert item,title,"[""group"",""differences"",""five"",""point"",""likert"",""item""]"
206,null,null,What is the difference between discrete data and continuous data?,title,"[""difference"",""discrete"",""data"",""continuous"",""data"",""?""]"
213,null,null,What is the best way to identify outliers in multivariate data?,title,"[""best"",""way"",""identify"",""outliers"",""multivariate"",""data"",""?""]"
222,null,null,What are principal component scores?,title,"[""principal"",""component"",""scores"",""?""]"
223,null,null,Intro to statistics for an MD?,title,"[""intro"",""statistics"",""md"",""?""]"
224,null,null,Recommended visualization libraries for standalone applications,title,"[""recommended"",""visualization"",""libraries"",""standalone"",""applications""]"
242,null,null,Using time series analysis to analyze/predict violent behavior,title,"[""using"",""time"",""series"",""analysis"",""analyze/predict"",""violent"",""behavior""]"
249,null,null,Variance components,title,"[""variance"",""components""]"
257,null,null,What is the easiest way to create publication-quality plots under Linux?,title,"[""easiest"",""way"",""create"",""publication-quality"",""plots"",""linux"",""?""]"
267,null,null,How do I calculate if the degree of overlap between two lists is significant?,title,"[""calculate"",""degree"",""overlap"",""two"",""lists"",""significant"",""?""]"
269,null,null,What is the difference between a population and a sample?,title,"[""difference"",""population"",""sample"",""?""]"
278,null,null,How to deal with the effect of the order of observations in a non hierarchical cluster analysis?,title,"[""deal"",""effect"",""order"",""observations"",""non"",""hierarchical"",""cluster"",""analysis"",""?""]"
287,null,null,What is the difference/relationship between method of moments and GMM?,title,"[""difference/relationship"",""method"",""moments"",""gmm"",""?""]"
290,null,null,Resources for learning Stata,title,"[""resources"",""learning"",""stata""]"
298,null,null,"In linear regression, when is it appropriate to use the log of an independent variable instead of the actual values?",title,"[""linear"",""regression"","","",""appropriate"",""use"",""log"",""independent"",""variable"",""instead"",""actual"",""values"",""?""]"
321,null,null,How does gentle boosting differ from AdaBoost?,title,"[""gentle"",""boosting"",""differ"",""adaboost"",""?""]"
328,null,null,Resources for learning about the Statistical Analysis of Financial Data,title,"[""resources"",""learning"",""statistical"",""analysis"",""financial"",""data""]"
346,null,null,What is a good algorithm for estimating the median of a huge read-once data set?,title,"[""good"",""algorithm"",""estimating"",""median"",""huge"",""read-once"",""data"",""set"",""?""]"
359,null,null,The trinity of tests in maximum likelihood: what to do when faced with contradicting conclusions?,title,"[""trinity"",""tests"",""maximum"",""likelihood"","":"",""faced"",""contradicting"",""conclusions"",""?""]"
363,null,null,What is the single most influential book every statistician should read?,title,"[""single"",""influential"",""book"",""every"",""statistician"",""read"",""?""]"
372,null,null,What are the key statistical concepts that relate to data mining?,title,"[""key"",""statistical"",""concepts"",""relate"",""data"",""mining"",""?""]"
373,null,null,The Monty Hall Problem - where does our intuition fail us?,title,"[""monty"",""hall"",""problem"",""-"",""intuition"",""fail"",""us"",""?""]"
375,null,null,Testing (and proving) the randomness of numbers,title,"[""testing"",""("",""proving"","")"",""randomness"",""numbers""]"
395,null,null,How to tell if something happened in a data set which monitors a value over time,title,"[""tell"",""something"",""happened"",""data"",""set"",""monitors"",""value"",""time""]"
411,null,null,Motivation for Kolmogorov distance between distributions,title,"[""motivation"",""kolmogorov"",""distance"",""distributions""]"
418,null,null,Why isn't RANSAC most widely used in statistics?,title,"[""n't"",""ransac"",""widely"",""used"",""statistics"",""?""]"
421,null,null,What book would you recommend for non-statistician scientists?,title,"[""book"",""would"",""recommend"",""non-statistician"",""scientists"",""?""]"
423,null,null,"""What is your favorite """"data analysis"""" cartoon?""",title,"[""``"",""favorite"",""``"",""''"",""data"",""analysis"",""''"",""''"",""cartoon"",""?"",""''""]"
452,null,null,Always Report Robust (White) Standard Errors?,title,"[""always"",""report"",""robust"",""("",""white"","")"",""standard"",""errors"",""?""]"
485,null,null,Mathematical Statistics Videos,title,"[""mathematical"",""statistics"",""videos""]"
486,null,null,Negative values for AICc (corrected Akaike Information Criterion),title,"[""negative"",""values"",""aicc"",""("",""corrected"",""akaike"",""information"",""criterion"","")""]"
490,null,null,Variable selection procedure for binary classification,title,"[""variable"",""selection"",""procedure"",""binary"",""classification""]"
492,null,null,Dubious use of signal processing principles to identify a trend,title,"[""dubious"",""use"",""signal"",""processing"",""principles"",""identify"",""trend""]"
498,null,null,"In SAS, how do you copy & paste from the output window?",title,"[""sas"","","",""copy"",""&"",""paste"",""output"",""window"",""?""]"
507,null,null,What is the best method for checking convergence in MCMC?,title,"[""best"",""method"",""checking"",""convergence"",""mcmc"",""?""]"
517,null,null,"Unsupervised, supervised and semi-supervised learning",title,"[""unsupervised"","","",""supervised"",""semi-supervised"",""learning""]"
527,null,null,What ways are there to show two analytical methods are equivalent?,title,"[""ways"",""show"",""two"",""analytical"",""methods"",""equivalent"",""?""]"
534,null,null,Under what conditions does correlation imply causation?,title,"[""conditions"",""correlation"",""imply"",""causation"",""?""]"
539,null,null,Does it ever make sense to treat categorical data as continuous?,title,"[""ever"",""make"",""sense"",""treat"",""categorical"",""data"",""continuous"",""?""]"
555,null,null,Why is ANOVA taught / used as if it is a different research methodology compared to linear regression?,title,"[""anova"",""taught"",""/"",""used"",""different"",""research"",""methodology"",""compared"",""linear"",""regression"",""?""]"
562,null,null,When to use multiple models for prediction?,title,"[""use"",""multiple"",""models"",""prediction"",""?""]"
563,null,null,What is an instrumental variable?,title,"[""instrumental"",""variable"",""?""]"
564,null,null,What is difference-in-differences?,title,"[""difference-in-differences"",""?""]"
570,null,null,What graphical techniques are used in Structural Equation Modeling?,title,"[""graphical"",""techniques"",""used"",""structural"",""equation"",""modeling"",""?""]"
573,null,null,How to understand a convolutional deep belief network for audio classification?,title,"[""understand"",""convolutional"",""deep"",""belief"",""network"",""audio"",""classification"",""?""]"
575,null,null,Post-hocs for within subjects tests?,title,"[""post-hocs"",""within"",""subjects"",""tests"",""?""]"
577,null,null,Is there any reason to prefer the AIC or BIC over the other?,title,"[""reason"",""prefer"",""aic"",""bic"",""?""]"
581,null,null,What are the differences between the Baum-Welch algorithm and Viterbi training?,title,"[""differences"",""baum-welch"",""algorithm"",""viterbi"",""training"",""?""]"
590,null,null,To what extent can we call a Geometric Distribution a Geometric Density,title,"[""extent"",""call"",""geometric"",""distribution"",""geometric"",""density""]"
594,null,null,"E-M, is there an intuitive explanation?",title,"[""e-m"","","",""intuitive"",""explanation"",""?""]"
596,null,null,Something like E-M for discriminative models?,title,"[""something"",""like"",""e-m"",""discriminative"",""models"",""?""]"
602,null,null,Heuristics for optimizing ν-SVM?,title,"[""heuristics"",""optimizing"",""ν-svm"",""?""]"
604,null,null,Why prediction of a predicted variable from a discriminant analysis is imperfect,title,"[""prediction"",""predicted"",""variable"",""discriminant"",""analysis"",""imperfect""]"
608,null,null,How can one empirically demonstrate in R which cross-validation methods the AIC and BIC are equivalent to?,title,"[""one"",""empirically"",""demonstrate"",""r"",""cross-validation"",""methods"",""aic"",""bic"",""equivalent"",""?""]"
612,null,null,Is PCA followed by a rotation (such as varimax) still PCA?,title,"[""pca"",""followed"",""rotation"",""("",""varimax"","")"",""still"",""pca"",""?""]"
614,null,null,Open Source statistical textbooks?,title,"[""open"",""source"",""statistical"",""textbooks"",""?""]"
631,null,null,Standard deviation of standard deviation,title,"[""standard"",""deviation"",""standard"",""deviation""]"
641,null,null,Where is a good place to find survey results?,title,"[""good"",""place"",""find"",""survey"",""results"",""?""]"
643,null,null,How do you convey the beauty of the Central Limit Theorem to a non-statistician?,title,"[""convey"",""beauty"",""central"",""limit"",""theorem"",""non-statistician"",""?""]"
645,null,null,Best ways to aggregate and analyze data,title,"[""best"",""ways"",""aggregate"",""analyze"",""data""]"
652,null,null,Best books for an introduction to statistical data analysis?,title,"[""best"",""books"",""introduction"",""statistical"",""data"",""analysis"",""?""]"
660,null,null,"""Automating statistical correlation between """"texts"""" and """"data""""""",title,"[""``"",""automating"",""statistical"",""correlation"",""``"",""''"",""texts"",""''"",""''"",""``"",""''"",""data"",""''"",""''"",""''""]"
672,null,null,What is Bayes' theorem all about?,title,"[""bayes"",""'"",""theorem"",""?""]"
685,null,null,"Lies, Damn Lies and Statistics",title,"[""lies"","","",""damn"",""lies"",""statistics""]"
712,null,null,Data anonymization software,title,"[""data"",""anonymization"",""software""]"
726,null,null,Famous statistical quotations,title,"[""famous"",""statistical"",""quotations""]"
769,null,null,What types of data analysis do not count as statistics?,title,"[""types"",""data"",""analysis"",""count"",""statistics"",""?""]"
779,null,null,Normal distribution and monotonic transformations,title,"[""normal"",""distribution"",""monotonic"",""transformations""]"
790,null,null,Why (or when) to use the log-mean?,title,"[""("","")"",""use"",""log-mean"",""?""]"
795,null,null,Normalization of series,title,"[""normalization"",""series""]"
798,null,null,Calculating optimal number of bins in a histogram,title,"[""calculating"",""optimal"",""number"",""bins"",""histogram""]"
806,null,null,When should normalization never be used?,title,"[""normalization"",""never"",""used"",""?""]"
812,null,null,What is the difference between functional data analysis and high dimensional data analysis,title,"[""difference"",""functional"",""data"",""analysis"",""high"",""dimensional"",""data"",""analysis""]"
825,null,null,Any suggestions for making R code use multiple processors?,title,"[""suggestions"",""making"",""r"",""code"",""use"",""multiple"",""processors"",""?""]"
834,null,null,What is AIC? Looking for a formal but intuitive answer,title,"[""aic"",""?"",""looking"",""formal"",""intuitive"",""answer""]"
841,null,null,Comparing the variance of paired observations,title,"[""comparing"",""variance"",""paired"",""observations""]"
846,null,null,Regression output and Fisher-Snedecor distribution,title,"[""regression"",""output"",""fisher-snedecor"",""distribution""]"
847,null,null,What statistical model is used to calculate the test results for GWO?,title,"[""statistical"",""model"",""used"",""calculate"",""test"",""results"",""gwo"",""?""]"
866,null,null,When should I use lasso vs ridge?,title,"[""use"",""lasso"",""vs"",""ridge"",""?""]"
870,null,null,"Multiple hypothesis testing correction with Benjamini-Hochberg, p-values or q-values?",title,"[""multiple"",""hypothesis"",""testing"",""correction"",""benjamini-hochberg"","","",""p-values"",""q-values"",""?""]"
871,null,null,"""Correct spelling (capitalization, italicization, hyphenation) of """"p-value""""?""",title,"[""``"",""correct"",""spelling"",""("",""capitalization"","","",""italicization"","","",""hyphenation"","")"",""``"",""''"",""p-value"",""''"",""''"",""?"",""''""]"
877,null,null,Time Series Econometrics: VECM with multiple cointegration vectors,title,"[""time"",""series"",""econometrics"","":"",""vecm"",""multiple"",""cointegration"",""vectors""]"
880,null,null,Cross validation in very high dimension (to select the number of used variables in very high dimensional classification),title,"[""cross"",""validation"",""high"",""dimension"",""("",""select"",""number"",""used"",""variables"",""high"",""dimensional"",""classification"","")""]"
881,null,null,Series expansion of a density function,title,"[""series"",""expansion"",""density"",""function""]"
886,null,null,What is the 'fundamental' idea of machine learning for estimating parameters?,title,"[""'fundamental"",""'"",""idea"",""machine"",""learning"",""estimating"",""parameters"",""?""]"
887,null,null,Basic question regarding variance and stdev of a sample,title,"[""basic"",""question"",""regarding"",""variance"",""stdev"",""sample""]"
890,null,null,Reference category and prediction,title,"[""reference"",""category"",""prediction""]"
898,null,null,Modeling of real-time streaming data?,title,"[""modeling"",""real-time"",""streaming"",""data"",""?""]"
899,null,null,Separating two populations from the sample,title,"[""separating"",""two"",""populations"",""sample""]"
913,null,null,Relationships between two variables,title,"[""relationships"",""two"",""variables""]"
924,null,null,"Determine if three is statistically different than ten for a very large number of observations (1,000,000)",title,"[""determine"",""three"",""statistically"",""different"",""ten"",""large"",""number"",""observations"",""("",""1,000,000"","")""]"
927,null,null,Statistical podcasts,title,"[""statistical"",""podcasts""]"
928,null,null,Measurement level of percentile scores,title,"[""measurement"",""level"",""percentile"",""scores""]"
929,null,null,Probability Interpretations,title,"[""probability"",""interpretations""]"
939,null,null,Yates' correction for continuity only for 2X2?,title,"[""yates"",""'"",""correction"",""continuity"",""2x2"",""?""]"
944,null,null,How can I get R to stop autocompleting my quotes/parens?,title,"[""get"",""r"",""stop"",""autocompleting"",""quotes/parens"",""?""]"
949,null,null,When is logistic regression solved in closed form?,title,"[""logistic"",""regression"",""solved"",""closed"",""form"",""?""]"
952,null,null,How to reduce number of items on a multi-item scale where each item requires ranking four response options,title,"[""reduce"",""number"",""items"",""multi-item"",""scale"",""item"",""requires"",""ranking"",""four"",""response"",""options""]"
955,null,null,Data Analysis Work-- Is there Any Freelance Opportunity?,title,"[""data"",""analysis"",""work"",""--"",""freelance"",""opportunity"",""?""]"
973,null,null,Free data set for very high dimensional classification,title,"[""free"",""data"",""set"",""high"",""dimensional"",""classification""]"
980,null,null,How do I reduce the number of data points in a series?,title,"[""reduce"",""number"",""data"",""points"",""series"",""?""]"
1001,null,null,Is Spearman's correlation coefficient usable to compare distributions?,title,"[""spearman"",""'s"",""correlation"",""coefficient"",""usable"",""compare"",""distributions"",""?""]"
1012,null,null,What would the calculated value of the standard deviation of a uniform distribution be?,title,"[""would"",""calculated"",""value"",""standard"",""deviation"",""uniform"",""distribution"",""?""]"
1015,null,null,Reliability in Elicitation Exercise,title,"[""reliability"",""elicitation"",""exercise""]"
1023,null,null,Where can I find good statistics quizzes?,title,"[""find"",""good"",""statistics"",""quizzes"",""?""]"
1040,null,null,What is the interpretation/meaning of confidence intervals in misspecified models?,title,"[""interpretation/meaning"",""confidence"",""intervals"",""misspecified"",""models"",""?""]"
1045,null,null,Is there a radical difference in how bayesian and frequentist approaches treat nuisance parameters?,title,"[""radical"",""difference"",""bayesian"",""frequentist"",""approaches"",""treat"",""nuisance"",""parameters"",""?""]"
1047,null,null,Is Kolmogorov-Smirnov test valid with discrete distributions?,title,"[""kolmogorov-smirnov"",""test"",""valid"",""discrete"",""distributions"",""?""]"
1053,null,null,References for survival analysis,title,"[""references"",""survival"",""analysis""]"
1062,null,null,Orthogonal parametrization,title,"[""orthogonal"",""parametrization""]"
1066,null,null,Approximating density function for a non-normal distribution,title,"[""approximating"",""density"",""function"",""non-normal"",""distribution""]"
1093,null,null,Density function for a multivariate Bernoulli-like distribution,title,"[""density"",""function"",""multivariate"",""bernoulli-like"",""distribution""]"
1095,null,null,"Tonga: low rank approximation of the natural gradient, question regarding Le Roux et al. 2007",title,"[""tonga"","":"",""low"",""rank"",""approximation"",""natural"",""gradient"","","",""question"",""regarding"",""le"",""roux"",""et"",""al"",""."",""2007""]"
1099,null,null,"How to handle count data (categorical data), when it has been converted to a rate?",title,"[""handle"",""count"",""data"",""("",""categorical"",""data"","")"","","",""converted"",""rate"",""?""]"
1112,null,null,How to represent an unbounded variable as number between 0 and 1,title,"[""represent"",""unbounded"",""variable"",""number"",""0"",""1""]"
1115,null,null,Can I predict percentage change in earnings from percentage change in produced and percentage changed in price?,title,"[""predict"",""percentage"",""change"",""earnings"",""percentage"",""change"",""produced"",""percentage"",""changed"",""price"",""?""]"
1126,null,null,Reasons besides prediction to build models?,title,"[""reasons"",""besides"",""prediction"",""build"",""models"",""?""]"
1133,null,null,Multiple Chi-Squared Tests,title,"[""multiple"",""chi-squared"",""tests""]"
1142,null,null,Simple algorithm for online outlier detection of a generic time series,title,"[""simple"",""algorithm"",""online"",""outlier"",""detection"",""generic"",""time"",""series""]"
1149,null,null,Is there an intuitive explanation why multicollinearity is a problem in linear regression?,title,"[""intuitive"",""explanation"",""multicollinearity"",""problem"",""linear"",""regression"",""?""]"
1160,null,null,What code would you put before/after your R session?,title,"[""code"",""would"",""put"",""before/after"",""r"",""session"",""?""]"
1164,null,null,Why haven't robust (and resistant) statistics replaced classical techniques?,title,"[""n't"",""robust"",""("",""resistant"","")"",""statistics"",""replaced"",""classical"",""techniques"",""?""]"
1173,null,null,"""Alternative graphics to """"handle bar"""" plots""",title,"[""``"",""alternative"",""graphics"",""``"",""''"",""handle"",""bar"",""''"",""''"",""plots"",""''""]"
1194,null,null,Practical thoughts on explanatory vs. predictive modeling,title,"[""practical"",""thoughts"",""explanatory"",""vs."",""predictive"",""modeling""]"
1195,null,null,How can I apply a Pareto tail to a truncated distribution?,title,"[""apply"",""pareto"",""tail"",""truncated"",""distribution"",""?""]"
1205,null,null,Two-sample T-test with weighted data,title,"[""two-sample"",""t-test"",""weighted"",""data""]"
1207,null,null,Period detection of a generic time series,title,"[""period"",""detection"",""generic"",""time"",""series""]"
1223,null,null,Robust outlier detection in financial timeseries,title,"[""robust"",""outlier"",""detection"",""financial"",""timeseries""]"
1224,null,null,Heterogeneity with two studies,title,"[""heterogeneity"",""two"",""studies""]"
1241,null,null,What do ROC curves tell you that traditional inference wouldn't?,title,"[""roc"",""curves"",""tell"",""traditional"",""inference"",""would"",""n't"",""?""]"
1249,null,null,"Non-trivial bound for $E[\exp(Z^2)]$ when $Z \sim {\rm Bin}(n, n^{-\beta})$ with $\beta \in (0,1)$",title,"[""non-trivial"",""bound"",""$"",""e"",""["",""\\exp"",""("",""z^2"","")"",""]"",""$"",""$"",""z"",""\\sim"",""{"",""\\rm"",""bin"",""}"",""("",""n"","","",""n^"",""{"",""-\\beta"",""}"","")"",""$"",""$"",""\\beta"",""\\in"",""("",""0,1"","")"",""$""]"
1252,null,null,Statistical models cheat sheet,title,"[""statistical"",""models"",""cheat"",""sheet""]"
1253,null,null,How to limit my input data for Jaccard item-item similarity calculation?,title,"[""limit"",""input"",""data"",""jaccard"",""item-item"",""similarity"",""calculation"",""?""]"
1256,null,null,How can one speed up this correlation calculation in R without multicore?,title,"[""one"",""speed"",""correlation"",""calculation"",""r"",""without"",""multicore"",""?""]"
1257,null,null,"What is the correct likelihood function for an sequential, adaptive data generation process?",title,"[""correct"",""likelihood"",""function"",""sequential"","","",""adaptive"",""data"",""generation"",""process"",""?""]"
1261,null,null,"Fitting a fixed, exponential relationship between categories with categorical data",title,"[""fitting"",""fixed"","","",""exponential"",""relationship"",""categories"",""categorical"",""data""]"
1266,null,null,A non-parametric repeated-measures multi-way Anova in R?,title,"[""non-parametric"",""repeated-measures"",""multi-way"",""anova"",""r"",""?""]"
1268,null,null,SVD dimensionality reduction for time series of different length,title,"[""svd"",""dimensionality"",""reduction"",""time"",""series"",""different"",""length""]"
1274,null,null,Best way to show these or similar count data are not independent?,title,"[""best"",""way"",""show"",""similar"",""count"",""data"",""independent"",""?""]"
1278,null,null,Is calculating Incidence Rate Difference/Ratio appropriate for single case experimental design?,title,"[""calculating"",""incidence"",""rate"",""difference/ratio"",""appropriate"",""single"",""case"",""experimental"",""design"",""?""]"
1286,null,null,How can I obtain some of all possible combinations in R?,title,"[""obtain"",""possible"",""combinations"",""r"",""?""]"
1289,null,null,"""Visualizing multiple """"histograms"""" (bar-charts)""",title,"[""``"",""visualizing"",""multiple"",""``"",""''"",""histograms"",""''"",""''"",""("",""bar-charts"","")"",""''""]"
1293,null,null,Essential reads for people interested in Actuary and Actuarial science,title,"[""essential"",""reads"",""people"",""interested"",""actuary"",""actuarial"",""science""]"
1308,null,null,Extending the birthday paradox to more than 2 people,title,"[""extending"",""birthday"",""paradox"",""2"",""people""]"
1315,null,null,How do I figure out what kind of distribution represents this data on ping response times?,title,"[""figure"",""kind"",""distribution"",""represents"",""data"",""ping"",""response"",""times"",""?""]"
1321,null,null,Visualizing two scalar variables over time,title,"[""visualizing"",""two"",""scalar"",""variables"",""time""]"
1337,null,null,Statistics Jokes,title,"[""statistics"",""jokes""]"
1350,null,null,How to get around Numerical Overflow in Stata?,title,"[""get"",""around"",""numerical"",""overflow"",""stata"",""?""]"
1355,null,null,How could I predict the results of a simple card game?,title,"[""could"",""predict"",""results"",""simple"",""card"",""game"",""?""]"
1369,null,null,Sampling according to a normal distribution,title,"[""sampling"",""according"",""normal"",""distribution""]"
1376,null,null,Robust version of Hotelling $T^2$ test,title,"[""robust"",""version"",""hotelling"",""$"",""t^2"",""$"",""test""]"
1378,null,null,Estimating variability over time,title,"[""estimating"",""variability"",""time""]"
1383,null,null,Suggest a method for statistical data compression,title,"[""suggest"",""method"",""statistical"",""data"",""compression""]"
1385,null,null,Techniques for Handling Incomplete/Missing Data,title,"[""techniques"",""handling"",""incomplete/missing"",""data""]"
1386,null,null,Robust t-test for mean ,title,"[""robust"",""t-test"",""mean""]"
1405,null,null,Statistical test for difference between two odds ratios?,title,"[""statistical"",""test"",""difference"",""two"",""odds"",""ratios"",""?""]"
1412,null,null,Consequences of an improper link function in N alternative forced choice procedures (e.g. 2AFC)?,title,"[""consequences"",""improper"",""link"",""function"",""n"",""alternative"",""forced"",""choice"",""procedures"",""("",""e.g"",""."",""2afc"","")"",""?""]"
1413,null,null,Mixed regression models and custom link functions in R?,title,"[""mixed"",""regression"",""models"",""custom"",""link"",""functions"",""r"",""?""]"
1424,null,null,"""The """"Risk"""" game dice problem""",title,"[""``"",""``"",""''"",""risk"",""''"",""''"",""game"",""dice"",""problem"",""''""]"
1430,null,null,Example of a process that is 2nd order stationary but not strictly stationary,title,"[""example"",""process"",""2nd"",""order"",""stationary"",""strictly"",""stationary""]"
1432,null,null,What do the residuals in a logistic regression mean?,title,"[""residuals"",""logistic"",""regression"",""mean"",""?""]"
1441,null,null,"Example of a stochastic process that is 1st and 2nd order stationary, but not strictly stationary (Round 2)",title,"[""example"",""stochastic"",""process"",""1st"",""2nd"",""order"",""stationary"","","",""strictly"",""stationary"",""("",""round"",""2"","")""]"
1444,null,null,How should I transform non-negative data including zeros?,title,"[""transform"",""non-negative"",""data"",""including"",""zeros"",""?""]"
1447,null,null,Coefficient of Determination ($r^2$): I have never fully grasped the interpretation,title,"[""coefficient"",""determination"",""("",""$"",""r^2"",""$"","")"","":"",""never"",""fully"",""grasped"",""interpretation""]"
1454,null,null,How to identify points and an unknown distribution in a two type clustering problem?,title,"[""identify"",""points"",""unknown"",""distribution"",""two"",""type"",""clustering"",""problem"",""?""]"
